# dataset from http://archive.ics.uci.edu/ml/datasets/Balance+Scale
#
# outcome is class_name attribute
# 
# fields are as follows
# 1. Class Name: 3 (L, B, R)
# 2. Left-Weight: 5 (1, 2, 3, 4, 5)
# 3. Left-Distance: 5 (1, 2, 3, 4, 5)
# 4. Right-Weight: 5 (1, 2, 3, 4, 5)
# 5. Right-Distance: 5 (1, 2, 3, 4, 5)
id,class_name,left_distance,right_weight,right_distance
1,B,1,1,1,1
2,R,1,1,1,2
3,R,1,1,1,3
4,R,1,1,1,4
5,R,1,1,1,5
6,R,1,1,2,1
7,R,1,1,2,2
8,R,1,1,2,3
9,R,1,1,2,4
10,R,1,1,2,5
11,R,1,1,3,1
12,R,1,1,3,2
13,R,1,1,3,3
14,R,1,1,3,4
15,R,1,1,3,5
16,R,1,1,4,1
17,R,1,1,4,2
18,R,1,1,4,3
19,R,1,1,4,4
20,R,1,1,4,5
21,R,1,1,5,1
22,R,1,1,5,2
23,R,1,1,5,3
24,R,1,1,5,4
25,R,1,1,5,5
26,L,1,2,1,1
27,B,1,2,1,2
28,R,1,2,1,3
29,R,1,2,1,4
30,R,1,2,1,5
31,B,1,2,2,1
32,R,1,2,2,2
33,R,1,2,2,3
34,R,1,2,2,4
35,R,1,2,2,5
36,R,1,2,3,1
37,R,1,2,3,2
38,R,1,2,3,3
39,R,1,2,3,4
40,R,1,2,3,5
41,R,1,2,4,1
42,R,1,2,4,2
43,R,1,2,4,3
44,R,1,2,4,4
45,R,1,2,4,5
46,R,1,2,5,1
47,R,1,2,5,2
48,R,1,2,5,3
49,R,1,2,5,4
50,R,1,2,5,5
51,L,1,3,1,1
52,L,1,3,1,2
53,B,1,3,1,3
54,R,1,3,1,4
55,R,1,3,1,5
56,L,1,3,2,1
57,R,1,3,2,2
58,R,1,3,2,3
59,R,1,3,2,4
60,R,1,3,2,5
61,B,1,3,3,1
62,R,1,3,3,2
63,R,1,3,3,3
64,R,1,3,3,4
65,R,1,3,3,5
66,R,1,3,4,1
67,R,1,3,4,2
68,R,1,3,4,3
69,R,1,3,4,4
70,R,1,3,4,5
71,R,1,3,5,1
72,R,1,3,5,2
73,R,1,3,5,3
74,R,1,3,5,4
75,R,1,3,5,5
76,L,1,4,1,1
77,L,1,4,1,2
78,L,1,4,1,3
79,B,1,4,1,4
80,R,1,4,1,5
81,L,1,4,2,1
82,B,1,4,2,2
83,R,1,4,2,3
84,R,1,4,2,4
85,R,1,4,2,5
86,L,1,4,3,1
87,R,1,4,3,2
88,R,1,4,3,3
89,R,1,4,3,4
90,R,1,4,3,5
91,B,1,4,4,1
92,R,1,4,4,2
93,R,1,4,4,3
94,R,1,4,4,4
95,R,1,4,4,5
96,R,1,4,5,1
97,R,1,4,5,2
98,R,1,4,5,3
99,R,1,4,5,4
100,R,1,4,5,5
101,L,1,5,1,1
102,L,1,5,1,2
103,L,1,5,1,3
104,L,1,5,1,4
105,B,1,5,1,5
106,L,1,5,2,1
107,L,1,5,2,2
108,R,1,5,2,3
109,R,1,5,2,4
110,R,1,5,2,5
111,L,1,5,3,1
112,R,1,5,3,2
113,R,1,5,3,3
114,R,1,5,3,4
115,R,1,5,3,5
116,L,1,5,4,1
117,R,1,5,4,2
118,R,1,5,4,3
119,R,1,5,4,4
120,R,1,5,4,5
121,B,1,5,5,1
122,R,1,5,5,2
123,R,1,5,5,3
124,R,1,5,5,4
125,R,1,5,5,5
126,L,2,1,1,1
